ticker,entry_date,exit_date,entry_price,exit_price,profit,return_pct,days_held
XLI,2022-09-29,2022-10-03,80.39,81.73,1.34,1.67,4
XLI,2022-10-05,2022-10-11,84.11,81.82,-2.29,-2.72,6
XLI,2022-10-12,2022-10-13,81.18,82.97,1.79,2.21,1
XLI,2022-10-14,2022-10-21,81.15,84.94,3.78,4.66,7
XLI,2022-10-24,2022-10-25,86.07,87.22,1.16,1.35,1
XLI,2022-10-26,2022-10-27,87.53,88.56,1.02,1.17,1
XLI,2022-10-31,2022-11-03,90.36,89.61,-0.75,-0.83,3
XLI,2022-11-04,2022-11-21,91.05,95.54,4.49,4.93,17
XLI,2022-11-22,2022-12-02,96.27,98.0,1.72,1.79,10
XLI,2022-12-05,2022-12-08,96.36,95.66,-0.7,-0.73,3
