date,ticker,action,price,quantity,entry_price,exit_price,signal,profit,stop_loss,take_profit
2023-12-14,UNG,SELL,19.040000915527344,11815,18.07999992370605,19.040000915527344,SELL,11342.411718368572,17.17599992752075,18.983999919891353
2023-12-15,UNG,BUY,19.31999969482422,11644,19.31999969482422,,BUY,,18.353999710083006,20.285999679565432
2023-12-19,UNG,SELL,19.600000381469727,11644,19.31999969482422,19.600000381469727,SELL,3260.327995300293,18.353999710083006,20.285999679565432
2023-12-20,UNG,BUY,18.799999237060547,12140,18.799999237060547,,BUY,,17.859999275207517,19.739999198913576
2023-12-21,UNG,SELL,19.959999084472656,12140,18.799999237060547,19.959999084472656,SELL,14082.398147583008,17.859999275207517,19.739999198913576
2023-12-22,UNG,BUY,20.15999984741211,12019,20.15999984741211,,BUY,,19.151999855041502,21.167999839782716
2024-01-03,UNG,SELL,21.76000022888184,12019,20.15999984741211,21.76000022888184,SELL,19230.404584884687,19.151999855041502,21.167999839782716
2024-01-17,UNG,BUY,23.280000686645508,11234,23.280000686645508,,BUY,,22.116000652313232,24.444000720977783
2024-01-18,UNG,SELL,22.239999771118164,11234,23.280000686645508,22.239999771118164,SELL,-11683.37028503418,22.116000652313232,24.444000720977783
2024-01-22,UNG,BUY,19.68000030517578,12696,19.68000030517578,,BUY,,18.69600028991699,20.66400032043457
2024-01-24,UNG,SELL,21.059999465942383,12696,19.68000030517578,21.059999465942383,SELL,17520.469345092773,18.69600028991699,20.66400032043457
2024-01-30,UNG,BUY,19.39999961853028,13782,19.39999961853028,,BUY,,18.429999637603764,20.369999599456797
2024-02-08,UNG,SELL,17.420000076293945,13782,19.39999961853028,17.420000076293945,SELL,-27288.353691101172,18.429999637603764,20.369999599456797
2024-02-16,UNG,BUY,14.989999771118164,16016,14.989999771118164,,BUY,,14.240499782562255,15.739499759674073
2024-02-20,UNG,SELL,14.770000457763672,16016,14.989999771118164,14.770000457763672,SELL,-3523.509002685547,14.240499782562255,15.739499759674073
2024-02-28,UNG,BUY,16.729999542236328,14140,16.729999542236328,,BUY,,15.893499565124511,17.566499519348145
2024-03-04,UNG,SELL,17.299999237060547,14140,16.729999542236328,17.299999237060547,SELL,8059.795684814453,15.893499565124511,17.566499519348145
2024-03-05,UNG,BUY,17.510000228881836,13970,17.510000228881836,,BUY,,16.634500217437743,18.38550024032593
2024-03-07,UNG,SELL,16.030000686645508,13970,17.510000228881836,16.030000686645508,SELL,-20675.593605041504,16.634500217437743,18.38550024032593
2024-03-08,UNG,BUY,16.1299991607666,13884,16.1299991607666,,BUY,,15.323499202728271,16.93649911880493
2024-03-12,UNG,SELL,15.3100004196167,13884,16.1299991607666,15.3100004196167,SELL,-11384.862522125244,15.323499202728271,16.93649911880493
2024-03-13,UNG,BUY,14.90999984741211,14256,14.90999984741211,,BUY,,14.164499855041504,15.655499839782715
2024-03-15,UNG,SELL,15.130000114440918,14256,14.90999984741211,15.130000114440918,SELL,3136.3238067626953,14.164499855041504,15.655499839782715
2024-03-19,UNG,BUY,15.640000343322754,13791,15.640000343322754,,BUY,,14.858000326156615,16.42200036048889
