date,cash,market_value,total_value
2025-01-17,244507.43581390387,0.0,244507.43581390387
2025-01-21,244507.43581390387,0.0,244507.43581390387
2025-01-22,244507.43581390387,0.0,244507.43581390387
2025-01-23,244507.43581390387,0.0,244507.43581390387
2025-01-24,244507.43581390387,0.0,244507.43581390387
2025-01-27,244507.43581390387,0.0,244507.43581390387
2025-01-28,165.54207611086895,244341.893737793,244507.43581390387
2025-01-29,165.54207611086895,243233.82751464844,243399.3695907593
2025-01-30,240906.18144989017,0.0,240906.18144989017
2025-01-31,136.34886932375957,240769.8325805664,240906.18144989017
2025-02-03,240642.80701446536,0.0,240642.80701446536
2025-02-04,240642.80701446536,0.0,240642.80701446536
2025-02-05,221.748878479033,240421.05813598633,240642.80701446536
2025-02-06,243350.6907424927,0.0,243350.6907424927
2025-02-07,222.5472183227539,243128.14352416995,243350.6907424927
2025-02-10,247584.08657073975,0.0,247584.08657073975
2025-02-11,247584.08657073975,0.0,247584.08657073975
2025-02-12,110.76448822021484,247473.32208251953,247584.08657073975
2025-02-13,249140.7292098999,0.0,249140.7292098999
2025-02-14,249140.7292098999,0.0,249140.7292098999
2025-02-18,249140.7292098999,0.0,249140.7292098999
2025-02-19,249140.7292098999,0.0,249140.7292098999
2025-02-20,249140.7292098999,0.0,249140.7292098999
2025-02-21,249140.7292098999,0.0,249140.7292098999
2025-02-24,57.31134796142578,249083.41786193848,249140.7292098999
2025-02-25,249246.11492156982,0.0,249246.11492156982
2025-02-26,171.40782928469707,249074.70709228513,249246.11492156982
2025-02-27,171.40782928469707,242555.88638305667,242727.29421234137
2025-02-28,246840.76641082767,0.0,246840.76641082767
2025-03-03,201.7012710571871,246639.06513977048,246840.76641082767
2025-03-04,245373.10494232184,0.0,245373.10494232184
2025-03-05,245373.10494232184,0.0,245373.10494232184
2025-03-06,245373.10494232184,0.0,245373.10494232184
2025-03-07,245373.10494232184,0.0,245373.10494232184
2025-03-10,245373.10494232184,0.0,245373.10494232184
2025-03-11,28.789512634306448,245344.31542968753,245373.10494232184
2025-03-12,248243.50875091556,0.0,248243.50875091556
2025-03-13,248243.50875091556,0.0,248243.50875091556
2025-03-14,248243.50875091556,0.0,248243.50875091556
2025-03-17,248243.50875091556,0.0,248243.50875091556
2025-03-18,248243.50875091556,0.0,248243.50875091556
2025-03-19,248243.50875091556,0.0,248243.50875091556
2025-03-20,72.16263580325176,248171.3461151123,248243.50875091556
2025-03-21,249847.50118255618,0.0,249847.50118255618
2025-03-24,249847.50118255618,0.0,249847.50118255618
2025-03-25,249847.50118255618,0.0,249847.50118255618
2025-03-26,44.03511810305645,249803.46606445312,249847.50118255618
2025-03-27,44.03511810305645,250089.12075805667,250133.15587615973
2025-03-28,44.03511810305645,239358.24151611328,239402.27663421634
2025-03-31,236346.94829559335,0.0,236346.94829559335
2025-04-01,170.02054595955997,236176.9277496338,236346.94829559335
2025-04-02,241066.30379486099,0.0,241066.30379486099
2025-04-03,241066.30379486099,0.0,241066.30379486099
2025-04-04,127.30379486098536,240939.0,241066.30379486099
2025-04-07,127.30379486098536,246941.33226013184,247068.63605499282
2025-04-08,127.30379486098536,240459.9451599121,240587.2489547731
2025-04-09,269387.2123947145,0.0,269387.2123947145
2025-04-10,269387.2123947145,0.0,269387.2123947145
2025-04-11,269387.2123947145,0.0,269387.2123947145
2025-04-14,269387.2123947145,0.0,269387.2123947145
2025-04-15,2.217887878534384,269384.99450683594,269387.2123947145
2025-04-16,2.217887878534384,261495.00274658203,261497.22063446057
2025-04-17,2.217887878534384,258915.00091552734,258917.21880340588
2025-04-21,250982.22887420666,0.0,250982.22887420666
2025-04-22,44.419486999628134,250937.80938720703,250982.22887420666
2025-04-23,44.419486999628134,261689.4088439941,261733.82833099374
2025-04-24,270340.8697586061,0.0,270340.8697586061
2025-04-25,270340.8697586061,0.0,270340.8697586061
2025-04-28,270340.8697586061,0.0,270340.8697586061
2025-04-29,270340.8697586061,0.0,270340.8697586061
2025-04-30,270340.8697586061,0.0,270340.8697586061
2025-05-01,270340.8697586061,0.0,270340.8697586061
2025-05-02,270340.8697586061,0.0,270340.8697586061
2025-05-05,133.3609085084754,270207.5088500976,270340.8697586061
2025-05-06,133.3609085084754,268264.49203491217,268397.85294342064
2025-05-07,133.3609085084754,273629.5097351074,273762.8706436159
2025-05-08,278649.3635635378,0.0,278649.3635635378
2025-05-09,278649.3635635378,0.0,278649.3635635378
2025-05-12,278649.3635635378,0.0,278649.3635635378
2025-05-13,63.70999908464728,278585.6535644531,278649.3635635378
2025-05-14,277173.20999908465,0.0,277173.20999908465
2025-05-15,277173.20999908465,0.0,277173.20999908465
2025-05-16,277173.20999908465,0.0,277173.20999908465
2025-05-19,277173.20999908465,0.0,277173.20999908465
2025-05-20,277173.20999908465,0.0,277173.20999908465
2025-05-21,29.85672760027228,277143.3532714844,277173.20999908465
2025-05-22,29.85672760027228,279871.8084106445,279901.66513824475
2025-05-23,276994.0842971804,0.0,276994.0842971804
2025-05-27,276994.0842971804,0.0,276994.0842971804
2025-05-28,7.922645569080487,276986.1616516113,276994.0842971804
2025-05-29,7.922645569080487,278312.0958709717,278320.01851654076
2025-05-30,277386.44521331816,0.0,277386.44521331816
2025-06-02,277386.44521331816,0.0,277386.44521331816
2025-06-03,89.35616302519338,277297.08905029297,277386.44521331816
2025-06-04,279435.3904037478,0.0,279435.3904037478
2025-06-05,4.34548187290784,279431.0449218749,279435.3904037478
2025-06-06,287042.4353256229,0.0,287042.4353256229
2025-06-09,287042.4353256229,0.0,287042.4353256229
2025-06-10,287042.4353256229,0.0,287042.4353256229
2025-06-11,75.23943328892346,286967.195892334,287042.4353256229
2025-06-12,287096.2868270878,0.0,287096.2868270878
2025-06-13,124.97856903122738,286971.3082580566,287096.2868270878
2025-06-16,292508.2868270878,0.0,292508.2868270878
2025-06-17,138.25685882609105,292370.0299682617,292508.2868270878
2025-06-18,138.25685882609105,289239.7258148193,289377.98267364537
2025-06-20,285526.35018158,0.0,285526.35018158
2025-06-23,285526.35018158,0.0,285526.35018158
2025-06-24,201.77445220993832,285324.57572937006,285526.35018158
2025-06-25,201.77445220993832,284278.59736633307,284480.371818543
2025-06-26,291359.6879043584,0.0,291359.6879043584
2025-06-27,291359.6879043584,0.0,291359.6879043584
2025-06-30,9.768714905250818,291349.9191894531,291359.6879043584
2025-07-01,292780.6576309209,0.0,292780.6576309209
2025-07-02,67.14006805466488,292713.5175628662,292780.6576309209
2020-08-05,45.830810546875,99954.16918945312,100000.0
2020-08-06,45.830810546875,99090.19061279297,99136.02142333984
2020-08-07,96357.23997497559,0.0,96357.23997497559
2020-08-10,32.95970153808594,96324.2802734375,96357.23997497559
2020-08-11,32.95970153808594,94143.22729492188,94176.18699645996
2020-08-12,32.95970153808594,96878.20123291016,96911.16093444824
2020-08-13,32.95970153808594,98966.93859863281,98999.8983001709
2020-08-14,32.95970153808594,97766.78106689453,97799.74076843262
2020-08-17,32.95970153808594,101124.91040039062,101157.87010192871
2020-08-18,102254.1805267334,0.0,102254.1805267334
2020-08-19,53.94993591308594,102200.23059082031,102254.1805267334
2020-08-20,53.94993591308594,102913.30068969727,102967.25062561035
2020-08-21,53.94993591308594,103315.85678100586,103369.80671691895
2020-08-24,101794.13325500488,0.0,101794.13325500488
2020-08-25,101794.13325500488,0.0,101794.13325500488
2020-08-26,35.04893493652344,101759.08432006836,101794.13325500488
2020-08-27,101092.7202911377,0.0,101092.7202911377
2020-08-28,53.15715026855469,101039.56314086914,101092.7202911377
2020-08-31,53.15715026855469,104288.6752319336,104341.83238220215
2020-09-01,106398.5096282959,0.0,106398.5096282959
2020-09-02,106398.5096282959,0.0,106398.5096282959
2020-09-03,106398.5096282959,0.0,106398.5096282959
2020-09-04,106398.5096282959,0.0,106398.5096282959
2020-09-08,42.60505676269531,106355.9045715332,106398.5096282959
